code,name,address,tel,fax,officehour,nightpharmacy,address_parsed,ispublic,istest,isstop,y,x,coordinate,poi_type
1,便民藥房(噴水池),澳門議事亭前地16-A號地下連一樓及仁慈堂右巷3號地下連閣樓,"28566568,28573739",28517939,,Y,澳門議事亭前地16-A號,,,,22.193861,113.540288,"22.193861,113.540288",pharmacy
2,立基,澳門東望洋斜巷3-C號通曦閣C座地下及地庫,28590042,28385581,,Y,澳門東望洋斜巷3-C號通曦閣C座地下及地庫,,,,22.196204,113.547569,"22.196204,113.547569",pharmacy
4,便民(柏惠店),澳門荷蘭園正街柏蕙花園大廈136-138號地下J、K舖,28347453,28582043,,Y,澳門荷蘭園正街柏蕙花園大廈136-138號,,,,22.202917,113.550862,"22.202917,113.550862",pharmacy
5,新城市,澳門巴波沙大馬路新城市商業中心地下IM1舖,28235812,28235811,,Y,澳門巴波沙大馬路新城市商業中心地下IM1舖,,,,22.212859,113.547264,"22.212859,113.547264",pharmacy
6,振興,澳門新馬路215號地下,28572888,28580173,,N,澳門新馬路215號地下,,,,22.1937,113.53921,"22.1937,113.53921",pharmacy
7,飛萬里,澳門祐漢第六街65號吉祥大廈第一座地下,28415270,28415273,,Y,澳門祐漢第六街65號吉祥大廈,,,,22.21173,113.55028,"22.21173,113.55028",pharmacy
10,保寧,澳門祐漢新村第一街14號萬壽樓地下、閣樓及一樓,"28343151, 28412729",28412810,,Y,澳門祐漢新村第一街14號萬壽樓,,,,22.21069,113.54949,"22.21069,113.54949",pharmacy
12,榮豐,澳門高士德大馬路105號地下,"28210407, 28551344",28211429,,Y,澳門高士德大馬路105號,,,,22.20489,113.54446,"22.20489,113.54446",pharmacy
15,德成,澳門白朗古將軍大馬路89號地下,28381339,28381335,,Y,澳門白朗古將軍大馬路89號地下,,,,22.20987,113.54452,"22.20987,113.54452",pharmacy
18,慈博,澳門十月初五街94號地下A舖,28923656,28923656,,Y,澳門十月初五街94號地下A舖,,,,22.19769,113.53769,"22.19769,113.53769",pharmacy
20,便民(南新店),澳門氹仔柯維納馬路南新第三座300、306、308B及308C號R、S、T及U舖，均為地下,"28821506, 28821508",28821509,,Y,澳門氹仔柯維納馬路南新第三座300、306、308B及308C號R、S、T及U舖，均為地下,,,,22.15769,113.55029,"22.15769,113.55029",pharmacy
23,新豐,澳門渡船街4號G地下A舖,28365866,28365865,,Y,澳門渡船街4號G地下A舖,,,,22.20181,113.54507,"22.20181,113.54507",pharmacy
24,便民(黑沙環店),澳門慕拉士大馬路利德閣地下C舖,"28482356, 28482357",28482358,,Y,澳門慕拉士大馬路利德閣地下C舖,,,,22.19537,113.53756,"22.19537,113.53756",pharmacy
27,正興,澳門新馬路469號地下,28573213,28937589,,Y,澳門新馬路469號地下,,,,22.20583,113.54505,"22.20583,113.54505",pharmacy
29,耀華,澳門罅些喇提督大馬路112號地下,28212733,28212734,,Y,澳門罅些喇提督大馬路112號地下,,,,22.21053,113.55118,"22.21053,113.55118",pharmacy
32,運通,澳門市場街4號、長壽大馬路74號及78號麗華新村(第一座)AM、AK及AL座地下及閣樓,28472518,28415158,,N,澳門市場街4號、長壽大馬路74號及78號麗華新村(第一座)AM、AK及AL座地下及閣樓,,,,22.21053,113.55118,"22.21053,113.55118",pharmacy
33,國際,澳門下環街6號B福興大廈地下,28967566,28967954,,Y,澳門下環街6號B福興大廈地下,,,,22.19082,113.53471,"22.19082,113.53471",pharmacy
34,雄輝,澳門青洲大馬路260號逸麗花園第一座地下A座,28225019,28226052,,Y,澳門青洲大馬路260號逸麗花園第一座地下A座,,,,22.21101,113.54503,"22.21101,113.54503",pharmacy
38,國衛,澳門東望洋新街142號地下,28352841,28353963,,Y,澳門東望洋新街142號地下,,,,22.19475,113.54594,"22.19475,113.54594",pharmacy
39,來來,澳門俾利喇街75號宏利大廈A地下,28527336,28527180,,Y,澳門俾利喇街75號宏利大廈A地下,,,,22.20209,113.54613,"22.20209,113.54613",pharmacy
40,萬康,"澳門東北大馬路231,233號海濱花園第五座B地下",28457302,28457303,,Y,"澳門東北大馬路231,233號海濱花園第五座B地下",,,,22.20739,113.55541,"22.20739, 113.55541",pharmacy
41,萬豐,澳門高士德大馬路46-A號地下,28553063,28552723,,Y,澳門高士德大馬路46-A號地下,,,,22.20253,113.54759,"22.20253, 113.54759",pharmacy
47,尚利民,澳門長崎街32號地下,28706677,28706677,,N,澳門長崎街32號地下,,,,22.19222,113.55142,"22.19222, 113.55142",pharmacy
50,振興II(水坑尾分店),澳門水坑尾街106號地下連閣樓,28330773,28331792,,N,澳門水坑尾街106號地下,,,,22.19384,113.54326,"22.19384, 113.54326",pharmacy
55,仁輝,澳門氹仔佛山街168號地下D舖,28842550,28842895,,Y,澳門氹仔佛山街168號地下D舖,,,,22.15808,113.55284,"22.15808, 113.55284",pharmacy
57,便民(盧苑店),澳門羅利老馬路1-O號蘆苑地下H舖,28565445,28565764,,N,澳門羅利老馬路1-O號蘆苑地下H舖,,,,22.20002,113.54734,"22.20002, 113.54734",pharmacy
59,振興III(沙梨頭分店),澳門沙梨頭海邊街36-B號E舖地下連閣仔,28951003,28951005,,N,澳門沙梨頭海邊街36-B號E舖地下連閣仔,,,,22.20264,113.53878,"22.20264, 113.53878",pharmacy
61,國泰,澳門連勝馬路84-B號容國大廈地下A座,28535120,28535125,,Y,澳門連勝馬路84-B號容國大廈地下A座,,,,22.20392,113.54537,"22.20392, 113.54537",pharmacy
67,百利,澳門長壽大馬路第442號地下AN舖,28811112,28422882,,Y,澳門長壽大馬路第442號地下AN舖,,,,22.21241,113.55108,"22.21241, 113.55108",pharmacy
69,尚利康,澳門菜園新街105號地下A舖,28333334,28333334,,N,澳門菜園新街105號地下A舖,,,,22.21449,113.5465,"22.21449, 113.5465",pharmacy
71,健民,澳門長壽大馬路35-A號地下BM座,28412900,28412700,,Y,澳門長壽大馬路35-A號,,,,22.21133,113.5506,"22.21133, 113.5506",pharmacy
74,保寧(第一分店),澳門亞馬喇土腰(關閘馬路)64-H號怡南大廈G座地下連閣樓,28430039,28432131,,Y,澳門亞馬喇土腰(關閘馬路)64-H號怡南大廈G座地下連閣樓,,,,22.21297,113.54883,"22.21297, 113.54883",pharmacy
80,恆昇,澳門羅白沙街32號昌明花園第三期(明珠閣)F座地下連閣樓,28216702,28217407,,Y,澳門羅白沙街32號昌明花園第三期(明珠閣)F座地下連閣樓,,,,22.20377,113.54369,"22.20377, 113.54369",pharmacy
81,同濟,澳門肥利喇亞美打大馬路(荷蘭園大馬路)98-A號寶寶大廈地下A座,28529133,28529133,,Y,澳門肥利喇亞美打大馬路(荷蘭園大馬路)98-A號寶寶大廈地下A座,,,,22.20228,113.55004,"22.20228, 113.55004",pharmacy
83,便民(光輝店),澳門科英布街474號J座及478號K座光輝苑(光輝商業中心)均為地下連一樓,28753568,28753596,,N,澳門科英布街474號J座,,,,22.18801,113.54944,"22.18801, 113.54944",pharmacy
84,科霖III,澳門沙梨頭南街25號華寶商業中心D座地下及閣樓,28258081,28258099,,Y,澳門沙梨頭南街25號華寶商業中心D座地下及閣樓,,,,22.20541,113.5439,"22.20541, 113.5439",pharmacy
86,便民(關閘店),"澳門永定街120號南暉(第一座,第二座)X座地下連閣樓",28481766,28481722,,N,澳門永定街120號南暉,,,,22.21359,113.55009,"22.21359, 113.55009",pharmacy
88,非凡(筷子基),澳門飛喇士街(筷子基南街)117號聯薪廣場地下B座,28266898,28266713,,Y,澳門飛喇士街(筷子基南街)117號,,,,22.20752,113.54403,"22.20752, 113.54403",pharmacy
95,新豐II,澳門白朗古將軍大馬路49號宏安大廈G座地下及閣樓,28265323,28265221,,Y,澳門白朗古將軍大馬路49號宏安大廈G座地下及閣樓,,,,22.20868,113.54494,"22.20868, 113.54494",pharmacy
98,壹藥房,澳門氹仔成都街407-413號濠景花園地下E座,28855088,28855100,,Y,澳門氹仔成都街407-413號濠景花園地下E座,,,,22.1586,113.55402,"22.1586, 113.55402",pharmacy
101,運通(第一分店),"澳門亞馬喇土腰(關閘馬路)92號彩虹苑(第一,二座)地下I座及PP座",28437937,28415158,,Y,澳門關閘馬路92號彩虹苑,,,,22.21402,113.54921,"22.21402, 113.54921",pharmacy
